Climate scenario,With CO2 yield fertilization,Data source,Point estimate,95 percent CI,Region,Nutrient,Unit per capita,Year,Value
No Climate Change,no,Reference,yes,,Bolivia,protein,g,2010,77.05
No Climate Change,no,Reference,yes,,Bolivia,iron,mg,2010,17.43
No Climate Change,no,Reference,yes,,Bolivia,zinc,mg,2010,13.84
No Climate Change,no,Reference,yes,,Brazil,protein,g,2010,110.14
No Climate Change,no,Reference,yes,,Brazil,iron,mg,2010,21.88
No Climate Change,no,Reference,yes,,Brazil,zinc,mg,2010,18.19
No Climate Change,no,Reference,yes,,Bhutan,protein,g,2010,75.11
No Climate Change,no,Reference,yes,,Bhutan,iron,mg,2010,23.33
No Climate Change,no,Reference,yes,,Bhutan,zinc,mg,2010,14.53
No Climate Change,no,Reference,yes,,Botswana,protein,g,2010,65.47
No Climate Change,no,Reference,yes,,Botswana,iron,mg,2010,22.99
No Climate Change,no,Reference,yes,,Botswana,zinc,mg,2010,9.53
No Climate Change,no,Reference,yes,,Central African Rep.,protein,g,2010,52.16
No Climate Change,no,Reference,yes,,Central African Rep.,iron,mg,2010,18.40
No Climate Change,no,Reference,yes,,Central African Rep.,zinc,mg,2010,9.79
No Climate Change,no,Reference,yes,,Canada,protein,g,2010,138.03
No Climate Change,no,Reference,yes,,Canada,iron,mg,2010,24.75
No Climate Change,no,Reference,yes,,Canada,zinc,mg,2010,21.16
No Climate Change,no,Reference,yes,,Chile,protein,g,2010,111.59
No Climate Change,no,Reference,yes,,Chile,iron,mg,2010,24.24
No Climate Change,no,Reference,yes,,Chile,zinc,mg,2010,19.33
No Climate Change,no,Reference,yes,,China,protein,g,2010,117.43
No Climate Change,no,Reference,yes,,China,iron,mg,2010,32.45
No Climate Change,no,Reference,yes,,China,zinc,mg,2010,18.72
No Climate Change,no,Reference,yes,,Switzerland,protein,g,2010,115.32
No Climate Change,no,Reference,yes,,Switzerland,iron,mg,2010,19.08
No Climate Change,no,Reference,yes,,Switzerland,zinc,mg,2010,17.72
No Climate Change,no,Reference,yes,,Ivory Coast,protein,g,2010,55.75
No Climate Change,no,Reference,yes,,Ivory Coast,iron,mg,2010,20.51
No Climate Change,no,Reference,yes,,Ivory Coast,zinc,mg,2010,9.86
No Climate Change,no,Reference,yes,,Cameroon,protein,g,2010,63.20
No Climate Change,no,Reference,yes,,Cameroon,iron,mg,2010,21.91
No Climate Change,no,Reference,yes,,Cameroon,zinc,mg,2010,11.17
No Climate Change,no,Reference,yes,,DRC,protein,g,2010,23.22
No Climate Change,no,Reference,yes,,DRC,iron,mg,2010,8.00
No Climate Change,no,Reference,yes,,DRC,zinc,mg,2010,4.00
